date,close,Volume,open,high,low
6/14/23,$39.36 ,22056420,$40.32 ,$40.34 ,$39.32 
6/13/23,$40.28 ,26533760,$39.67 ,$40.37 ,$39.45 
6/12/23,$39.90 ,28340780,$39.01 ,$40.07 ,$38.99 
6/9/23,$38.97 ,19777460,$39.28 ,$39.59 ,$38.87 
6/8/23,$39.09 ,17353720,$39.04 ,$39.19 ,$38.73 
6/7/23,$38.89 ,25295130,$38.35 ,$39.06 ,$38.13 
6/6/23,$38.37 ,19508230,$38.81 ,$38.86 ,$38.29 
6/5/23,$38.65 ,18392230,$38.48 ,$39.02 ,$38.47 
6/2/23,$38.36 ,22736350,$38.25 ,$38.66 ,$38.16 
6/1/23,$38.02 ,20256140,$38.12 ,$38.21 ,$37.70 
5/31/23,$38.02 ,46166330,$37.10 ,$38.22 ,$36.87 
5/30/23,$37.01 ,24371100,$37.36 ,$37.36 ,$36.92 
5/26/23,$37.60 ,20234630,$38.04 ,$38.44 ,$37.56 
5/25/23,$37.83 ,30266600,$38.51 ,$38.51 ,$37.65 
5/24/23,$38.63 ,39326370,$40.10 ,$40.14 ,$38.60 
5/23/23,$39.64 ,75379540,$38.55 ,$40.14 ,$38.00 
5/22/23,$38.75 ,85718550,$36.86 ,$38.87 ,$36.75 
5/19/23,$36.77 ,33068320,$36.65 ,$37.65 ,$36.52 
5/18/23,$36.48 ,27772420,$36.71 ,$36.78 ,$36.17 
5/17/23,$36.75 ,23206390,$36.98 ,$37.05 ,$36.51 
5/16/23,$37.01 ,25451710,$37.02 ,$37.24 ,$36.83 
5/15/23,$37.16 ,16650410,$37.30 ,$37.36 ,$37.01 
5/12/23,$37.35 ,16541290,$37.61 ,$37.72 ,$37.23 
5/11/23,$37.58 ,28566370,$37.60 ,$37.65 ,$37.21 
5/10/23,$38.30 ,15858220,$38.67 ,$38.72 ,$38.08 
5/9/23,$38.48 ,15987900,$38.48 ,$38.67 ,$38.39 
5/8/23,$38.67 ,20101720,$38.53 ,$38.73 ,$38.35 
5/5/23,$38.49 ,19225050,$38.38 ,$38.50 ,$38.09 
5/4/23,$38.23 ,23675130,$38.17 ,$38.43 ,$38.02 
5/3/23,$38.45 ,27721930,$39.20 ,$39.39 ,$38.36 
5/2/23,$39.06 ,38834140,$39.29 ,$40.12 ,$38.63 
5/1/23,$39.21 ,23917760,$39.00 ,$39.52 ,$38.86 
4/28/23,$38.89 ,21015330,$38.70 ,$38.91 ,$38.62 
4/27/23,$38.74 ,22434050,$38.62 ,$38.83 ,$38.31 
4/26/23,$38.63 ,22401430,$39.16 ,$39.19 ,$38.40 
4/25/23,$39.33 ,24492370,$39.75 ,$39.92 ,$39.29 
4/24/23,$39.91 ,17633650,$40.19 ,$40.20 ,$39.71 
4/21/23,$40.21 ,19227110,$40.09 ,$40.30 ,$39.91 
4/20/23,$39.85 ,20131600,$40.08 ,$40.19 ,$39.79 
4/19/23,$40.24 ,17214340,$40.43 ,$40.56 ,$40.20 
4/18/23,$40.55 ,18541480,$41.28 ,$41.33 ,$40.53 
4/17/23,$41.18 ,17608640,$41.12 ,$41.28 ,$40.96 
4/14/23,$41.19 ,20627480,$41.51 ,$41.71 ,$40.93 
4/13/23,$41.47 ,22880860,$41.53 ,$41.70 ,$41.30 
4/12/23,$41.37 ,17035070,$41.63 ,$41.79 ,$41.27 
4/11/23,$41.79 ,15304120,$41.80 ,$41.99 ,$41.70 
4/10/23,$41.73 ,15137290,$41.15 ,$41.74 ,$41.12 
4/6/23,$41.50 ,25931830,$41.93 ,$42.10 ,$41.37 
